X,Y,宽度,高度,旋转角度,面积,类别
180,277.5,112,41,0,4592,1
193.0292053,228.5424347,131.2135468,43.15515518,-79.50852966,5662.540972,0
23,352,114,46,-90,5244,0
179.5,85.5,359,171,0,61389,0
27.92984009,375.1162109,110.3796844,51.28156662,-45.6295929,5660.443142,0
254.5,185,91,26,0,2366,0
199.6104126,135.2956848,478.905365,233.8102112,-49.08561707,111972.9645,0
194.5,193,81,28,-90,2268,1
138.3099823,165.5484619,344.2046204,164.2557678,-66.5158844,56537.59421,1
48.43344116,551.7039185,112.9426651,36.35242462,-64.7988739,4105.73972,0
284.2593384,238.5975189,159.5091095,78.08589935,-83.13000488,12455.41227,0
174.4999847,159,362.483429,107.1316299,-12.80426693,38833.44057,0
223.1270447,48.65328217,284.7647095,116.7897034,-11.95367813,33257.58595,0
164.6108246,303.5641479,103.4884644,41.67981339,-79.91940308,4313.379882,0
290.5,560.5,89,37,0,3293,0
296.0620117,275.7922058,102.5239105,34.75250626,-71.27420807,3562.962842,0
309.5,214,99,38,0,3762,0
280.0499878,157.6499939,162.6345367,43.13351059,-81.86989594,7014.998513,0
73.03081512,86.99075317,146.7451172,62.88407516,-2.683774948,9227.930979,0
189.5,48.5,227,97,0,22019,0
239.8302155,546.0943604,139.6732635,68.25215149,-13.79948616,9533.000743,0
225.2925415,432.3433838,132.3770752,49.76102066,-85.4260788,6587.218374,0
233.5,85.5,101,37,0,3737,0
245.0536194,121.4276733,116.8040924,38.90140533,-87.13759613,4543.843343,0
146.311142,528.6939697,114.3183212,33.06563568,-84.62329102,3780.007961,0
101.0292206,265.0608521,206.7585144,57.77382278,-84.68545532,11945.22977,1
179.5,83,359,166,0,59594,0
138.5,290.5,119,31,0,3689,1
104.5927048,483.1148071,123.6918335,54.83651733,-18.69898224,6782.829372,0
211.5,214.5,85,31,-90,2635,1
184.7341614,417.4073181,102.040657,46.72498703,-77.90524292,4767.848377,0
179.5,63.5,359,127,0,45593,0
174.6434937,355.7334595,89.7905426,37.05598068,-25.8663578,3327.276612,0
40,125.5,173,80,0,13840,0
73,25,146,50,0,7300,0
240.6093445,555.6878052,100.1543045,45.03608322,-82.33319855,4510.557593,0
191.5,176.5,91,35,0,3185,1
199.2056274,114.0910263,275.467804,60.15637207,-84.55966949,16571.14371,0
187.5475159,30.14373398,211.8336945,63.30109024,-3.141129732,13409.30381,0
162,559,118,40,0,4720,0
191.0171661,239.1660004,217.1052399,99.81390381,-89.0178833,21670.12153,1
36.46216202,203.6270142,84.03504181,39.11341858,-17.1027298,3286.897766,0
159.9999695,139,319.999939,79.99998474,0,25599.99023,0
149.5,24,181,48,0,8688,0
164.5,274.9999695,90.99998474,29.99999619,0,2729.999195,1
208.5270386,224.3378448,112.2845078,40.60654831,-80.53767395,4559.486288,0
157.6018066,524.7850342,87.31292725,43.11832809,-19.65382385,3764.787444,0
103.4898071,196.9893646,85.50228119,25.78606987,-88.8065033,2204.767797,1
119.4392624,117.1418304,238.7026215,55.4250679,-1.718357801,13230.109,0
147.9999695,276,131.9999695,43.99999237,0,5807.99765,0
241.5432129,220.9692993,101.9265137,35.19065857,-1.684684396,3586.861142,0
60.27452087,536.2418823,108.0906448,37.90059662,-6.981057644,4096.699928,0
93,133.5,92,31,0,2852,0
171.4999847,55.99999237,246.9999695,111.9999847,0,27663.99281,0
18.5,295,98,37,-90,3626,0
192,248,90,34,0,3060,1
170.3209534,146.7254486,94.59519958,38.46456146,-14.67639256,3638.562868,0
17,281.5,87,34,-90,2958,0
179.8475342,47.77111435,361.999939,98.55170441,-2.405970573,35675.71098,0
101,203.5,88,33,0,2904,0
54.74623108,241.8856354,196.3379669,96.02046204,-53.35807037,18852.4623,0
152,13,110,26,-90,2860,0
182.530304,269.7117615,103.8925323,38.48796844,-1.432096124,3998.612507,1
67.81724548,148.9511108,120.0579376,48.75060272,-71.76059723,5852.896821,0
297,106,104,24,-90,2496,0
269.664917,19.31566429,169.3274689,37.37467575,-1.01397872,6328.559245,0
288.5,63.49999237,92.99998474,36.99999237,0,3440.998726,0
206.0066833,197.2953186,559.5354004,258.0580444,-34.99201965,144392.6112,1
47.5,448.5,261,95,0,24795,0
154.5,248,81,28,0,2268,1
71.17724609,258.7964783,129.2745056,48.23740005,-77.56044006,6235.866044,0
191.6898041,270.6866455,184.0943909,44.76186371,-84.44004822,8240.408034,1
272,280,76,28,0,2128,1
183.5802917,290.5322876,89.38602448,28.85618401,-1.30195272,2579.33957,1
179.4999695,82.99998474,358.999939,165.9999695,0,59593.97891,0
199.9999847,499.5,197.9999695,58.99999237,0,11681.99669,0
198.8929443,128.8517151,178.1375275,45.88391113,-17.38697433,8173.64648,0
111.3577118,515.1115723,186.9010468,88.93367767,-52.12501526,16621.79745,0
313.6640625,365.5929565,105.9106903,36.2799263,-60.46121979,3842.432039,0
16.5,92,148,33,-90,4884,0
204.1502533,65.00836182,314.0577087,130.9887695,-56.74562836,41138.03283,0
179.5,526.5,359,105,0,37695,0
95.5,454,191,94,0,17954,0
298.6988525,377.7421265,201.7314606,100.465332,-42.04922485,20267.01817,0
217.5,364,141,50,0,7050,1
236.8063507,199.7995758,123.5570679,58.64660645,-3.652222872,7246.202733,0
178.5,262.5,119,43,0,5117,1
50.5,231,101,40,0,4040,0
172.5360718,228.0821381,101.8767548,28.51749611,-1.909152508,2905.269957,1
70.12374878,169.385376,153.9664459,56.1993103,-71.86191559,8652.808071,0
243.5,57,231,114,0,26334,0
95.5,433.5,85,31,0,2635,0
306,359.5,106,51,-90,5406,0
179.5,61.5,359,123,-90,44157,0
228.9235535,207.3796387,93.73903656,43.2347374,-5.856012821,4052.782629,0
327.5,199,136,63,0,8568,0
185.5,61.5,347,123,0,42681,0
327,365.5,69,34,0,2346,0
151.1584778,282.5679016,177.8493958,37.84763718,-85.72415924,6731.179402,1
258.1034851,294.5368652,168.7067566,82.9602356,-38.3820076,13995.95227,0
262.0349426,74.092453,149.5640259,57.36859512,-86.24827576,8580.278046,0
296.4580078,187.8912354,98.57980347,35.5735321,-21.12471962,3506.831803,0
270.1677856,50.61513901,200.6050568,68.50161743,-20.7848587,13741.77085,0
320.3940125,189.8513489,116.7555389,55.040905,-53.92398834,6426.330527,0
175,113.5,108,23,0,2484,0
163,235.5,102,33,0,3366,1
35.4128418,161.3761597,94.00722504,47.0036087,-61.69924545,4418.678821,0
283.7576904,47.55973053,158.6704102,63.7953186,-83.29016113,10122.42937,0
185.4815674,188.2443542,97.26374054,29.82039642,-1.397181034,2900.443301,1
179.5,274,89,40,0,3560,1
218.6329498,66.86416626,123.8505859,47.66993332,-8.746162415,5903.949173,0
214.8904266,272.2960815,180.2849121,88.64568329,-86.24827576,15981.47922,1
187.5135803,342.2199097,217.7590942,70.48361206,-14.32271862,15348.44752,0
140.5672607,202.5397644,217.2724457,49.3871727,-0.8487643,10730.4718,0
257.8258667,530.7463989,204.0413971,82.10079956,-7.907163143,16751.96184,0
120.7577362,228.9738617,183.4082642,63.61736679,-1.974933863,11667.95081,1
179.5,78.5,359,157,0,56363,0
177.1397552,220.1941071,156.2089691,61.22995758,-2.411029816,9564.668553,0
189.5,255.5,83,37,0,3071,1
188.5,51.5,305,103,0,31415,0
86.5,185.5,97,29,-90,2813,0
157.9648743,246.5107727,96.57853699,32.6423378,-88.66777802,3152.549228,1
104.5,548.5,179,61,0,10919,0
155.8190613,194.394928,258.1837463,118.8306351,-86.42366791,30680.13854,1
112.4635162,151.631958,202.0759583,86.76305389,-21.41296959,17532.72726,0
291.5,162,284,135,0,38340,0
178.0128479,251.5761414,92.80588531,28.71409035,-88.26429749,2664.836576,1
336.4999695,82.99998474,165.9999695,44.99999237,0,7469.99736,0
108.5951538,36.08586502,128.8027954,55.07670593,-18.88608551,7094.033686,0
192.5,556.5,111,29,-90,3219,0
230,296,132,34,0,4488,1
138.5,273.5,107,31,0,3317,1
261.5,564.5,113,29,0,3277,0
189.5544281,210.5345459,317.1293945,108.0209503,-8.417657852,34256.61857,1
159.8016357,134.7819672,108.5073776,47.1248436,-13.24052048,5113.3932,0
95,25,172,50,0,8600,0
167.5419312,241.9840546,101.4359055,31.64560509,-89.04515839,3210.000606,1
57.5,171,85,40,0,3400,0
31,66.5,81,34,0,2754,0
179.5061188,65.19851685,359.9971313,131.1183167,-89.56263733,47202.21786,0
170.016983,280.3563538,111.397583,31.15517235,-2.726310968,3470.610898,1
20.5,207.5,111,41,-90,4551,0
178.3057404,241.7996826,122.2774353,49.97459412,-3.301865816,6110.765199,1
276.2133789,147.0130768,125.6741867,57.27089691,-10.91112804,7197.473391,0
152,519,258,120,0,30960,0
49.5,446,99,42,-90,4158,0
167.5438538,182.1977844,96.2507019,38.77739716,-78.27488708,3732.351694,0
294.9046936,240.6195221,132.3725433,52.59709549,-85.13549042,6962.411302,0
16,232.5,87,32,-90,2784,0
177,25.5,160,51,0,8160,0
183.712616,521.7052002,92.1492157,40.95520782,-44.27478027,3773.99028,0
179.5,531,359,96,0,34464,0
179.4999695,74.99998474,358.999939,149.9999695,0,53849.97989,0
272.1653137,484.8926392,99.97769165,38.83391571,-6.4416008,3882.52525,0
169,526.5,338,105,0,35490,0
300.8000183,398.4000549,138.6362152,33.09380722,-63.43495178,4588.00018,0
60.5,30,121,60,-90,7260,0
190.9999695,237.5,97.99998474,32.99999237,0,3233.998749,1
162.5,252.5,117,37,0,4329,1
260.5,200.5,163,63,0,10269,1
251,25,108,50,0,5400,0
172,235,112,34,-90,3808,1
267.5,12.5,103,25,-90,2575,0
173.5,266.5,103,33,-90,3399,1
236.5,555,141,48,0,6768,0
269.5,464,179,58,0,10382,0
46.57961273,299.4245911,130.429184,42.4908905,-33.97654343,5542.052174,0
159,243,110,48,0,5280,0
179.4999695,65.99998474,358.999939,131.9999695,0,47387.98099,0
179.5,512.5,359,133,0,47747,0
152.1705017,276.149353,139.6986694,35.59322739,-87.81835175,4972.326507,0
77.89626312,213.3610229,166.8533783,46.32255554,-78.36637115,7729.074883,0
247.0205841,376.7676697,178.6261749,64.73184204,-4.398705482,11562.80134,0
138.4856262,47.50745773,278.3765869,95.94645691,-0.830315411,26709.2472,0
175,302,100,32,0,3200,1
208.8869934,229.5940552,305.5530396,60.29697418,-4.383439064,18423.92374,0
141,113.5,96,47,-90,4512,0
144.5703583,49.26951981,105.6021576,36.13115311,-7.326406956,3815.527724,0
182.1591339,281.9995117,130.7419128,46.2335701,-86.09950256,6044.665392,1
331.5,244,138,55,0,7590,0
179.478653,85.60955048,385.0865784,144.1457214,-78.96878815,55508.58265,0
169.0058289,149.4317169,131.7120972,32.55627441,-75.65067291,4288.055179,0
239.9185791,478.2832642,95.62046051,43.33450317,-60.39554977,4143.665149,0
200.0949554,241.4989014,142.9638062,68.36096954,-14.67639256,9773.144398,1
47.74556351,170.3106384,112.2307663,41.07692337,-67.38013458,4610.094587,0
177.0273285,266.4612427,114.8286591,33.48839951,-88.49256897,3845.428009,1
172.5561981,198.9142761,195.7580872,53.35695648,-88.75463104,10445.05574,0
146.5,550.5,235,57,-90,13395,0
171.3061981,23.78276062,166.8180695,46.43389893,-3.447386742,7746.013376,0
152.5,250.5,97,31,0,3007,1
177.5,192,199,74,0,14726,0
243.5,24.5,107,49,-90,5243,0
86.01470947,25.69117355,160.1796875,58.48101425,-30.96375465,9367.470588,0
131.2585449,438.81073,278.7572327,86.38861084,-79.56252289,24081.45009,0
119.048645,265.2781982,80.77988434,31.50103569,-3.576334476,2544.65002,1
182.9113159,268.3604126,164.0782166,40.23633194,-10.61965466,6601.905585,1
17,114,86,34,0,2924,0
161.5532837,548.0860596,117.1532516,46.98805237,-5.194428921,5504.803124,0
125,121.5,250,91,0,22750,0
173.8771057,274.1763,101.0213165,46.30062866,-47.35329819,4677.350464,0
147.1894379,335.1291504,129.1992493,32.03993607,-6.632514477,4139.535686,0
30.79021263,73.67946625,149.7773743,56.77016068,-86.87786865,8502.885603,0
172,265,104,38,0,3952,1
151.5,195.5,107,27,0,2889,0
173.5,263.5,105,35,0,3675,1
335.9999695,304.5,132.9999695,45.99999237,0,6117.997581,0
266.1483459,221.8751373,345.1866455,152.9213562,-50.16330719,52786.40997,0
194.608902,268.5410461,123.1772614,49.04557037,-13.86968613,6041.29904,1
283.550354,152.3763428,307.6371155,136.9271545,-3.450843096,42123.87485,0
112.3204193,544.6210327,127.7560043,59.81569672,-85.81508636,7641.814409,0
141.0005035,259.4841309,101.1871262,37.55251694,-88.18170166,3799.831269,0
286.2594299,230.5616913,166.0389252,79.60430145,-14.38139534,13217.41265,0
103,96,92,42,0,3864,0
129.5,373.5,179,47,0,8413,0
246.2888947,263.2662048,143.5877533,54.69947052,-16.0490036,7854.174078,0
29,60,120,58,-90,6960,0
118,46,236,92,-90,21712,0
105.5697327,498.9184875,228.7742157,50.46460724,-21.69511223,11545.00094,0
298.4456177,188.170105,158.938385,58.723526,-57.43956375,9333.422385,0
203.5,256.5,107,33,0,3531,1
208.5,54,137,48,0,6576,0
193.5,259.5,103,37,-90,3811,1
299.5,142.5,99,43,0,4257,0
299.5,52.5,97,35,0,3395,0
267,15.5,104,31,-90,3224,0
149.5,22,111,44,-90,4884,0
191.0039215,404.7709656,192.9473114,80.22194672,-84.62329102,15478.60893,0
182.5,230.5,105,37,0,3885,1
151.3033142,178.8531342,156.5852966,44.52887344,-76.27770233,6972.566857,0
149.1418457,91.86351013,153.4683685,66.99030304,-27.9509697,10280.89251,0
278.769989,246.6099548,85.98418427,32.66833878,-81.86989594,2808.960461,1
314,153,90,34,0,3060,0
186,277,84,38,0,3192,1
157,526.5,288,105,0,30240,0
327,470.5,217,64,0,13888,0
339,251.5,147,40,0,5880,0
123.1957092,248.9113464,117.759079,35.70437241,-87.79740143,4204.51401,1
135.3871002,24.67113495,173.7110291,74.53477478,-33.12614822,12947.51243,0
298.3990784,425.2723999,169.4494019,73.66352081,-62.20486069,12482.23954,0
231.5793304,282.3482666,133.3577271,42.69091034,-3.366460323,5693.162769,1
118.5,249.5,85,37,0,3145,0
286.5345154,219.117691,162.391449,60.45505142,-75.3791275,9817.383398,0
66,114,132,40,0,5280,0
188,252,142,50,0,7100,1
329.4653931,169.9938507,106.5642853,40.50216293,-79.87532806,4316.084045,0
238.7173615,63.44470978,89.52008057,33.5380249,-78.92979431,3002.326691,0
158.5,296.5,127,39,0,4953,1
161.5,502.5,323,153,0,49419,0
179.5,496.5,359,165,0,59235,0
158.5,365.9999695,94.99998474,35.99999237,0,3419.998726,0
322.175354,246.0018616,90.5884552,38.93533325,-21.64443588,3527.091692,0
174.5,259,123,32,0,3936,1
247.3081818,21.32575226,146.0502319,40.78273392,-5.042451382,5956.327747,0
186.0374146,273.3399048,110.9422836,32.40249634,-88.15238953,3594.806939,1
291.5,58,135,60,0,8100,0
170,504,340,150,0,51000,0
171.0830688,239.9953766,104.5609818,33.72576904,-3.179830074,3526.399521,1
193.6639709,149.2629395,181.9424133,35.47377396,-2.202598095,6454.184044,0
202.5,19.5,79,39,0,3081,0
333.5,197,110,51,-90,5610,0
199.9143677,239.9372406,112.2383652,33.50362015,-89.29268646,3760.391553,1
58,203.5,80,29,0,2320,0
184.5,35.5,179,71,0,12709,0
184.5,196.5,83,35,0,2905,1
291.0280762,46.46611786,142.1578979,63.09831619,-5.355824947,8969.923994,0
97.49998474,20.49999619,162.9999695,40.99999237,0,6682.997505,0
141.5,291.5,87,41,0,3567,1
169.9164581,301.4248047,104.6517868,36.20874023,-88.60282135,3789.309363,1
294.0473938,224.0723724,170.1188812,65.24397278,-33.23171234,11099.23166,0
212.5,77,81,38,0,3078,0
265.5,16,71,32,-90,2272,0
214.4999695,555.499939,90.99998474,42.99999237,0,3912.99865,0
77.45588684,529.5734863,101.1626816,30.83199501,-85.60128784,3119.047294,0
123.5,504,117,36,-90,4212,0
319.9747009,304.8904114,87.24549103,43.09807587,-12.99461651,3760.112791,0
169.5,304,147,52,-90,7644,1
198.5,75.5,321,151,0,48471,0
165.0347595,238.9879761,122.2940674,33.43959808,-0.666199982,4089.464461,1
312.4086914,148.0804443,101.1036682,36.65665054,-11.11304092,3706.121834,0
